Donor,Organ,Subset ,cell number,gs.id,pool.info,concentration,remarks
A21,Blood,CD8 EM+CM,200000,107420-001-018,Pool1 Sample 18,2.241954,A21 Blood CD8EM+CM
A21,Blood,CD8 EMRA,200000,107420-001-019,Pool1 Sample 19,2.332044,A21 Blood CD8EMRA
A21,Blood,CD4 N,200000,107420-001-020,Pool1 Sample 20,1.859715,A21 Blood CD4N
A21,Blood,CD8 N,200000,107420-001-021,Pool1 Sample 21,3.129984,A21 Blood CD8N
A21,Blood,CD4 CM (rep),200000,107420-001-022,Pool1 Sample 22,5.398965,A21 Blood CD4CM
A21,Blood,CD4 EM+EMRA (rep),200000,107420-001-023,Pool1 Sample 23,15.305004,A21 Blood CD4EM+EMRA
A21,Blood,CD8 EM+CM (rep),200000,107420-001-024,Pool1 Sample 24,2.160873,A21 Blood CD8EM+CM
A21,Blood,CD8 EMRA (rep),166000,107420-001-025,Pool1 Sample 25,5.074641,A21 Blood CD8EMRA
A21,Skin,CD4 CD69+,190000,107420-001-026,Pool1 Sample 26,3.431142,A21 Skin CD4CD69+
A21,Skin,CD4 CD69-,17000,107420-001-027,Pool1 Sample 27,2.880306,A21 Skin CD4CD69-
A21,Skin,CD8 CD69+,123000,107420-001-028,Pool1 Sample 28,4.288284,A21 Skin CD8CD69+
